Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2022,Arizona,Yavapai,03,120,73945.33,0.94311,78.75,11669.85,0.91013,1070.92,16881.57,0.85885,687.08,10768.21,0.902,31978.33
2022,Arizona,Yuma,03,130,81228.13,0.92981,134.67,10227.25,0.94748,788.33,14790.56,0.79491,944.25,12079.33,0.99812,13236.83
2022,Arkansas,Arkansas,04,000,68028.54,0.93565,16.5,8810.63,0.86496,285.5,14775.8,0.89821,199.42,10495.27,0.99491,1888.17
2022,Arkansas,Ashley,04,010,57884.05,0.95155,38.83,9323.04,0.88906,415.58,22263.36,0.99543,245.58,11977.91,0.98532,2464.75
2022,Arkansas,Baxter,04,020,80688.26,1.07007,26.92,10646.04,0.92171,623.25,15455.87,1.05935,316.08,9819.98,1.02737,6467.92
2022,Arkansas,Benton,04,030,66889.77,0.96098,91.58,11147.2,1.02642,1461.17,17418.67,1.02099,863.58,10543.1,1.06761,15681.92
2022,Arkansas,Boone,04,040,59180.64,0.9296,22,9493.34,0.83371,555.42,16259.27,0.98277,307.25,8987.49,0.97805,3996.83
2022,Arkansas,Bradley,04,050,77441.26,0.91275,19.42,12255.31,1.11188,209.5,21295.32,0.95518,144.92,10984.63,1.06778,1097.08
2022,Arkansas,Calhoun,04,060,*,*,*,10644.59,1.0625,82,14531.13,0.97763,35.17,11494.27,1.01313,510.33
2022,Arkansas,Carroll,04,070,78425.19,0.96558,16.5,8113.2,0.84229,269.58,13524.7,0.96943,185.08,9209.61,0.93847,2501
2022,Arkansas,Chicot,04,080,91059.66,1.03455,22.42,13741.13,0.91569,151.42,19065.5,0.97616,123.58,11060.84,0.95053,913.42
2022,Arkansas,Clark,04,090,82067.93,1.02576,15.67,10350.2,0.89001,230.5,18171.99,1.01146,135.75,9741.39,0.94111,1836
2022,Arkansas,Clay,04,100,70246.16,0.95077,12.42,10137.44,0.86943,286.58,22543.64,0.98821,236.25,12603.23,0.96585,1594.5
2022,Arkansas,Cleburne,04,110,83633.83,0.88943,14.25,9731.37,0.91717,464.17,18434.17,0.98633,237,9148.49,0.94393,3928.08
2022,Arkansas,Cleveland,04,120,*,*,*,13552.53,0.96928,128.67,23164.03,1.12132,70,12244.25,1.00959,987
2022,Arkansas,Columbia,04,130,83007.45,0.96904,20,9113.51,0.78643,381.83,19144.53,0.94832,223.83,11455.67,0.91229,2039.33
2022,Arkansas,Conway,04,140,78759.38,0.98143,13.42,11674.1,0.86093,328.42,17975.89,1.00886,211.75,10490.9,0.92576,2096.58
2022,Arkansas,Craighead,04,150,67814.14,0.92322,75,9773.9,0.88979,1272.67,21384.52,1.03934,560.75,11056.89,0.9863,8133.83
2022,Arkansas,Crawford,04,160,76605.4,1.01755,36.92,9222.5,0.96326,754.75,18422.61,1.03569,321.42,10307.19,1.09689,4156.5
2022,Arkansas,Crittenden,04,170,83527.85,0.99701,82.75,10447.5,1.00627,641.58,20483.24,1.02211,402,10482.7,1.03527,2524
2022,Arkansas,Cross,04,180,87595.25,0.88398,16.42,10487.4,0.84316,233.58,15046.24,0.91197,129.75,10388.01,0.90442,1370.75
2022,Arkansas,Dallas,04,190,73502.61,0.98921,10.25,8551.54,0.87608,115.08,22518.57,1.08894,76.75,12699.03,0.95065,665.92
2022,Arkansas,Desha,04,200,92725.32,0.95601,13.67,13987.07,0.88203,171.42,21529.09,0.91435,125.5,11022.77,0.90295,1031.5
2022,Arkansas,Drew,04,210,70668.12,0.99729,15.67,11701.88,0.96771,296.5,16880.9,1.04612,168.75,10377.83,1.00626,1604.25
2022,Arkansas,Faulkner,04,220,74616.07,0.98626,57.33,10668.18,0.89599,1189.75,20154.98,1.01379,519.33,10726.97,0.96477,9859.25
2022,Arkansas,Franklin,04,230,*,*,*,11482.37,0.98578,211.83,18607.83,1.20025,133,11101.85,1.09263,1356.92
2022,Arkansas,Fulton,04,240,96411.82,1.03794,8.5,6236.23,0.76928,247.42,17249.88,0.90717,179.33,11101.33,0.98195,1396
2022,Arkansas,Garland,04,250,69825.73,0.9915,48,11354.53,0.9965,1169.42,22077,1.06293,603.5,11210.5,1.0282,11787.17
2022,Arkansas,Grant,04,260,93157.42,1.15067,12.67,9182.9,0.96696,253.75,23710.27,1.06603,88.25,10208.81,1.07489,1778.83
2022,Arkansas,Greene,04,270,80058.34,0.99105,28.33,9706.34,0.89174,668.58,15990.96,0.94415,264.17,11572.45,0.98482,3696.17
2022,Arkansas,Hempstead,04,280,61119.14,0.96392,18.75,10950.64,0.87084,316.92,19665.2,0.97182,182.92,11222.64,1.00107,1550
2022,Arkansas,"Hot Spring",04,290,89282.02,1.0705,26,10280.21,1.01584,457,26454.95,1.13925,236.67,11034.02,1.10262,2983.92
2022,Arkansas,Howard,04,300,76096.92,0.91405,15.67,13664.06,0.9461,265.75,22646.42,0.9138,142.5,11706.28,0.97875,1280.92
2022,Arkansas,Independence,04,310,77407.85,1.02585,14.67,12276.25,0.97944,586.42,21021.54,1.09965,350.92,12270.82,1.04973,3474.42
2022,Arkansas,Izard,04,320,*,*,*,8829.02,0.8496,289.58,18040.95,0.9673,205,10580.93,0.96386,1436.08
2022,Arkansas,Jackson,04,330,73569.88,1.01456,16.92,9765.5,1.05379,290.17,18644.39,1.04616,176.5,11259.11,1.06433,1341
2022,Arkansas,Jefferson,04,340,78131.17,0.99465,82.33,12904.73,1.02641,922.25,16405.31,0.94795,448,10266.91,1.01692,5001.92
2022,Arkansas,Johnson,04,350,76884.17,0.91181,9.17,9489.27,0.80855,403.33,13106.92,0.86663,205.58,8903.63,0.94441,1827.67
2022,Arkansas,Lafayette,04,360,*,*,*,11434.59,0.91409,136.08,16146.16,0.82764,92,10512.95,0.97309,658
2022,Arkansas,Lawrence,04,370,110558.42,0.97633,9.42,10426.37,0.87817,288,18151.03,0.99216,194.17,11927.76,1.02136,1538.25
2022,Arkansas,Lee,04,380,73225.2,1.05217,15.67,8521.38,0.70041,103.83,12108.03,0.95809,89.08,9532.82,0.89098,523.42
2022,Arkansas,Lincoln,04,390,79337.81,1.0247,11.08,10078.08,1.04386,185.58,20175.11,1.12609,116.75,11763.5,1.08271,921.5
2022,Arkansas,"Little River",04,400,72551.04,1.03461,13.33,10782.2,0.89648,170.92,24732.97,0.89021,106.42,12296.36,1.06526,1098.83
2022,Arkansas,Logan,04,410,82040.91,0.92766,10.25,8962.65,0.89729,342.92,17124.82,1.00551,195.67,9769.96,1.07132,1904.08
2022,Arkansas,Lonoke,04,420,78244.02,1.02609,36,11113.11,0.95285,869.5,22091.2,1.08493,414.33,10382.55,1.02372,5801.25
2022,Arkansas,Madison,04,430,75831.77,1.03982,9.08,7587.67,0.87415,173.17,11899.39,0.96204,118.83,8501.61,0.99009,1039.5
2022,Arkansas,Marion,04,440,*,*,*,9904.57,0.89212,288,10813.67,0.81932,153.92,8951.08,0.88772,1896
2022,Arkansas,Miller,04,450,69626.13,0.90923,29.75,9775.99,0.97677,607.33,21367.01,1.0044,322.83,11436.05,1.04578,3061.08
2022,Arkansas,Mississippi,04,460,63405.75,0.94215,35.17,10254.41,0.90171,604.08,16674.48,1.00774,358.08,11155.34,1.02674,2291.5
2022,Arkansas,Monroe,04,470,*,*,*,8255.96,0.97248,106.33,12983.03,0.9476,117.83,9377.75,0.98425,703.83
2022,Arkansas,Montgomery,04,480,*,*,*,8955.7,0.88612,149.67,13148.45,0.86751,130.25,10561.46,0.96888,1086.67
2022,Arkansas,Nevada,04,490,64011.46,0.95554,7.92,15879.76,1.05111,123.5,24781.84,1.12855,101.25,10609.61,0.97067,785.17
2022,Arkansas,Newton,04,500,*,*,*,8984.35,0.93247,152.83,11752.37,0.8858,123.25,8365.76,0.93164,766.58
2022,Arkansas,Ouachita,04,510,78055.37,0.89292,21.83,9348.11,0.94534,359.67,23688.49,1.08133,225.83,10603.63,1.0269,2055
2022,Arkansas,Perry,04,520,*,*,*,10616.88,0.98228,149,17844.39,0.91885,85,10491.51,1.01265,1052.83
2022,Arkansas,Phillips,04,530,72550.7,0.93593,28.17,8488.83,0.89912,244.67,11769.57,0.83074,216.33,9692.01,0.91235,1147.5
2022,Arkansas,Pike,04,540,*,*,*,11842.79,0.97084,182,20269.91,0.99849,107.5,11268.12,0.986,1155.17
2022,Arkansas,Poinsett,04,550,106669.13,0.93122,16.33,9383.21,0.89444,340.42,22853.5,1.08008,237.83,10746.96,1.04729,1729.08
2022,Arkansas,Polk,04,560,*,*,*,9062.64,0.80495,302.92,18495.47,0.86635,213.42,10711.58,0.97393,2103.75
2022,Arkansas,Pope,04,570,69392.92,0.94525,36.25,10743.51,0.95029,761.5,15532.04,1.00451,327.5,10140.38,0.99218,4557.58
2022,Arkansas,Prairie,04,580,*,*,*,11437.16,1.10881,123.17,20234.07,0.98781,80.17,10610.7,0.99689,964.42
2022,Arkansas,Pulaski,04,590,73773.51,0.96495,294,11007.81,0.99182,3967,19808.27,1.03804,1648.83,10166.62,0.99731,32062.08
2022,Arkansas,Randolph,04,600,69404.73,1.08416,9.42,11414.98,0.92396,309.67,22445.67,1.06797,231.5,10724.28,1.09939,1606
2022,Arkansas,"St. Francis",04,610,68836.23,0.86643,28.5,11135.08,0.90754,315.92,15018.21,0.84548,199.17,9009.87,0.89682,1378.75
2022,Arkansas,Saline,04,620,79475.32,0.97013,62.5,10923.02,0.92414,1307.42,20279.48,1.04032,503.92,10712.91,1.00548,11978.75
2022,Arkansas,Scott,04,630,*,*,*,7514.16,0.94848,171.58,13757.37,0.95476,113.42,11039.6,1.10496,816.58
2022,Arkansas,Searcy,04,640,*,*,*,7728.36,0.83464,147.33,16171.06,0.9817,132.58,8577.2,0.92545,894
2022,Arkansas,Sebastian,04,650,80224.11,0.97007,79.58,10579.95,1.0338,1380.67,18802.91,1.0928,772.92,10404.39,1.10284,8747.33
2022,Arkansas,Sevier,04,660,*,*,*,12728.81,1.08439,204.42,17889.07,0.94268,130.33,11497.77,1.1494,1121.08
2022,Arkansas,Sharp,04,670,71944.63,1.02806,10.83,9556.44,0.85154,397.25,21980.76,1.00206,259.17,10450.11,1.00627,2033.33
2022,Arkansas,Stone,04,680,*,*,*,10409.83,0.99541,301.17,17123.93,1.07665,213.92,9869.68,1.11277,1788.75
2022,Arkansas,Union,04,690,63144.47,0.92594,56.67,9969.78,0.91033,620.75,19081.22,1.03558,361,10484.61,0.99687,3915.75
2022,Arkansas,"Van Buren",04,700,71551.2,1.11183,9.25,9699.16,0.74683,270.33,16465.46,0.94435,191.58,9827.32,0.97734,2110
2022,Arkansas,Washington,04,710,75370.08,0.98227,104.5,9333.53,0.96033,1662.33,16089.38,1.03073,881.08,9561.48,1.01271,13816.75
2022,Arkansas,White,04,720,79344.58,0.9831,38.67,11463.1,0.95297,1018.83,20127.31,1.03255,544.5,11098.98,1.0118,6944.75
2022,Arkansas,Woodruff,04,730,68884.96,1.07934,10.08,17029.95,1.16164,101.08,18447.37,0.98547,116.08,10420.04,0.8943,646.25
2022,Arkansas,Yell,04,740,*,*,*,9183.29,0.86705,269.5,22593.78,1.03547,161.67,11966.49,1.04152,1401.25
